video_id,exercise_id,exercise_name,equipment,youtube_link
477,231,Seated Row (No Chest Pad): Straight Back,lever,https://youtu.be/rp154g3bZPs?si=DR9MkgMVf38sSyfO
479,231,Seated Row (No Chest Pad): Straight Back,cable,https://youtu.be/7o2oolbmzeI?si=KwJtz0w3U1u1ZTQF
481,233,One Arm Bent-Over Row,barbell,https://youtu.be/1W1MnqIIZ7k?si=L_XjR82I59X4qwjR
483,233,One Arm Bent-Over Row,dumbbell,https://youtu.be/pYcpY20QaE8?si=N_affuEuctOwMjLQ
485,235,Inverted Row,suspension,https://youtu.be/Tn6GmMCtYWg?si=uvJf2DiYzfb7Fk2k
487,235,Inverted Row,body weight,https://youtu.be/KOaCM1HMwU0?si=E-zL6OTQWHrViXhS
489,237,Standing Calf Raise: Single Leg,body weight,https://youtu.be/qPd73snQfUs?si=UcnqJaFpDkLo6i3S
491,237,Standing Calf Raise: Single Leg,dumbbell,https://youtu.be/uhLjADhUxFM?si=-X1FKBlspW4XWgQI
493,239,Incline Shoulder Raise,dumbbell,https://youtu.be/RRjKNPyeKmE?si=fhWavOzg3mMAqmvW
495,241,Reverse Calf Raise: Single Leg,lever,https://youtu.be/Tla2ScHQgu0?si=Vu3eu24My75zjJI7
497,243,Push-Up: Incline,body weight,https://youtu.be/cfns5VDVVvk?si=tlUElqm-JdXuvMYi
